Unnamed: 0,robustness,r10,r90,output,stage,sector_hazard,cc_scenario,portfolio
1906,593.9,438.87,778.02,DamAgr_f_tot,2,multihaz_agr,Wp,00_01_00_00
1907,201.69,126.95,254.33,DamAgr_f_tot,2,multihaz_agr,Wp,04_10_00_00
1908,292.14,189.56,358.91,DamAgr_f_tot,2,multihaz_agr,Wp,03_01_00_00
1909,577.0,426.79,759.23,DamAgr_f_tot,2,multihaz_agr,Wp,00_06_00_00
1910,592.86,437.19,774.15,DamAgr_f_tot,2,multihaz_agr,Wp,00_03_00_00
1911,97.68,52.03,123.83,DamAgr_f_tot,2,multihaz_agr,Wp,08_01_00_00
1912,271.52,189.48,340.03,DamAgr_f_tot,2,multihaz_agr,Wp,01_09_00_00
1913,108.94,50.98,179.64,DamAgr_f_tot,2,multihaz_agr,Wp,06_07_00_00
1914,118.86,50.98,186.14,DamAgr_f_tot,2,multihaz_agr,Wp,06_00_00_00
1915,107.7,50.98,174.5,DamAgr_f_tot,2,multihaz_agr,Wp,06_10_00_00
1916,108.04,50.98,174.46,DamAgr_f_tot,2,multihaz_agr,Wp,06_04_00_00
1917,297.05,189.39,358.2,DamAgr_f_tot,2,multihaz_agr,Wp,03_02_00_00
1918,289.91,186.76,356.78,DamAgr_f_tot,2,multihaz_agr,Wp,01_05_00_00
1919,394.1,229.83,450.35,DamAgr_f_tot,2,multihaz_agr,Wp,11_01_00_00
1920,387.86,222.31,440.54,DamAgr_f_tot,2,multihaz_agr,Wp,09_05_00_00
1921,111.25,52.03,184.79,DamAgr_f_tot,2,multihaz_agr,Wp,06_01_00_00
1922,389.5,229.69,445.27,DamAgr_f_tot,2,multihaz_agr,Wp,11_09_00_00
1923,96.18,52.03,123.03,DamAgr_f_tot,2,multihaz_agr,Wp,08_09_00_00
1924,109.75,52.03,179.2,DamAgr_f_tot,2,multihaz_agr,Wp,06_09_00_00
1925,105.11,50.98,174.46,DamAgr_f_tot,2,multihaz_agr,Wp,05_04_00_00
1926,192.09,105.54,248.1,DamAgr_f_tot,2,multihaz_agr,Wp,02_06_00_00
1927,107.67,52.03,184.79,DamAgr_f_tot,2,multihaz_agr,Wp,05_03_00_00
1928,191.44,105.35,248.1,DamAgr_f_tot,2,multihaz_agr,Wp,02_04_00_00
1929,384.27,221.29,432.3,DamAgr_f_tot,2,multihaz_agr,Wp,09_00_00_00
1930,187.01,106.65,253.95,DamAgr_f_tot,2,multihaz_agr,Wp,02_02_00_00
1931,182.77,106.5,249.13,DamAgr_f_tot,2,multihaz_agr,Wp,10_04_00_00
1932,108.64,50.98,179.64,DamAgr_f_tot,2,multihaz_agr,Wp,06_06_00_00
